Chromosome ID,Total length [px],Long arm length [%],Short arm length [%],Long arm length [px],Short arm length [px] 
1,66.0,100.0,0.0,66.0,0.0
2,63.0,100.0,0.0,63.0,0.0
3,61.0,100.0,0.0,61.0,0.0
4,60.0,100.0,0.0,60.0,0.0
5,56.0,100.0,0.0,56.0,0.0
6,56.0,100.0,0.0,56.0,0.0
7,54.41421356237309,99.99999999999999,0.0,54.414213562373085,0.0
8,50.0,100.0,0.0,50.0,0.0
9,45.0,100.0,0.0,45.0,0.0
10,44.41421356237309,99.99999999999999,0.0,44.414213562373085,0.0
11,44.0,100.0,0.0,44.0,0.0
12,42.0,100.0,0.0,42.0,0.0
13,41.0,100.0,0.0,41.0,0.0
14,39.0,100.0,0.0,39.0,0.0
15,37.0,100.0,0.0,37.0,0.0
16,37.0,100.0,0.0,37.0,0.0
17,32.0,100.0,0.0,32.0,0.0
18,27.0,100.0,0.0,27.0,0.0
19,21.0,100.0,0.0,21.0,0.0
20,20.0,100.0,0.0,20.0,0.0
